"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"301","049770","동원F&B","KOSPI","음식료품",193000,-2000,-1.03,744810932000
"302","018500","동원금속","KOSPI","운수장비",1110,-30,-2.63,51897975630
"303","006040","동원산업","KOSPI","농업, 임업 및 어업",258000,-2000,-0.77,948831378000
"304","030720","동원수산","KOSPI","농업, 임업 및 어업",9040,40,0.44,42070397200
"305","014820","동원시스템즈","KOSPI","화학",46700,-100,-0.21,1196384463700
"306","014825","동원시스템즈우","KOSPI","화학",35650,-850,-2.33,9460012700
"307","163560","동일고무벨트","KOSPI","화학",9340,-90,-0.95,1.27491e+11
"308","004890","동일산업","KOSPI","철강금속",79900,1000,1.27,193774678500
"309","002690","동일제강","KOSPI","철강금속",3655,210,6.1,5.4825e+10
"310","000020","동화약품","KOSPI","의약품",14950,550,3.82,417575476500
"311","000150","두산","KOSPI","서비스업",49700,-600,-1.19,821234599500
"312","000157","두산2우B","KOSPI","서비스업",58000,300,0.52,51796204000
"313","241560","두산밥캣","KOSPI","기계",41200,300,0.73,4130265639200
"314","000155","두산우","KOSPI","서비스업",39600,0,0,158259895200
"315","042670","두산인프라코어","KOSPI","기계",10500,100,0.96,2306043201000
"316","034020","두산중공업","KOSPI","기계",13400,450,3.47,5020141548600
"317","336260","두산퓨얼셀","KOSPI","전기전자",50000,1200,2.46,3274686300000
"318","33626K","두산퓨얼셀1우","KOSPI","전기전자",14900,150,1.02,199126580000
"319","33626L","두산퓨얼셀2우B","KOSPI","전기전자",18150,200,1.11,54201345000
"320","016740","두올","KOSPI","운수장비",5200,-100,-1.89,140746736000
"321","192650","드림텍","KOSPI","전기전자",9800,530,5.72,645960904400
"322","024090","디씨엠","KOSPI","철강금속",20000,800,4.17,2.34e+11
"323","003160","디아이","KOSPI","의료정밀",7550,50,0.67,237800726750
"324","092200","디아이씨","KOSPI","운수장비",3120,0,0,121332335280
"325","013570","디와이","KOSPI","기타금융",5840,0,0,153706656720
"326","210540","디와이파워","KOSPI","기계",19200,0,0,212000793600
"327","007340","디티알오토모티브","KOSPI","전기전자",30600,300,0.99,305816553000
"328","026890","디피씨","KOSPI","전기전자",19350,1350,7.5,806472686250
"329","115390","락앤락","KOSPI","화학",14950,50,0.34,792464188100
"330","032350","롯데관광개발","KOSPI","서비스업",19500,-450,-2.26,1350875409000
"331","330590","롯데리츠","KOSPI","서비스업",5260,20,0.38,1278016329840
"332","000400","롯데손해보험","KOSPI","보험",1835,-15,-0.81,569467147200
"333","023530","롯데쇼핑","KOSPI","유통업",127000,-3000,-2.31,3592671885000
"334","004000","롯데정밀화학","KOSPI","화학",61700,500,0.82,1.59186e+12
"335","286940","롯데정보통신","KOSPI","서비스업",38300,-200,-0.52,589679477300
"336","280360","롯데제과","KOSPI","음식료품",138000,3000,2.22,885506946000
"337","004990","롯데지주","KOSPI","기타금융",33500,0,0,3514459439500
"338","00499K","롯데지주우","KOSPI","기타금융",59300,500,0.85,58566043900
"339","005300","롯데칠성","KOSPI","음식료품",133000,-2000,-1.48,1193691359000
"340","005305","롯데칠성우","KOSPI","음식료품",66100,-100,-0.15,51247991000
"341","011170","롯데케미칼","KOSPI","화학",296500,6000,2.07,10162661733500
"342","002270","롯데푸드","KOSPI","음식료품",371500,-2000,-0.54,420489705000
"343","071840","롯데하이마트","KOSPI","유통업",40500,-50,-0.12,956112336000
"344","027740","마니커","KOSPI","음식료품",724,2,0.28,143694158056
"345","204320","만도","KOSPI","운수장비",66200,600,0.91,3108561344000
"346","001080","만호제강","KOSPI","철강금속",21400,600,2.88,8.881e+10
"347","088980","맥쿼리인프라","KOSPI","기타금융",11800,0,0,4391871323000
"348","094800","맵스리얼티1","KOSPI","기타금융",4360,-55,-1.25,404757683160
"349","138040","메리츠금융지주","KOSPI","기타금융",16000,200,1.27,2144180704000
"350","008560","메리츠증권","KOSPI","증권",4610,-10,-0.22,3116183561470
"351","000060","메리츠화재","KOSPI","보험",18650,-550,-2.86,2249656250000
"352","090370","메타랩스","KOSPI","섬유의복",1230,-20,-1.6,78338622510
"353","017180","명문제약","KOSPI","의약품",5340,180,3.49,181311444360
"354","009900","명신산업","KOSPI","운수장비",26750,-450,-1.65,1090841460000
"355","012690","모나리자","KOSPI","종이목재",5390,120,2.28,197119064450
"356","005360","모나미","KOSPI","유통업",5120,50,0.99,96754211840
"357","204210","모두투어리츠","KOSPI","서비스업",3565,45,1.28,27902595475
"358","009680","모토닉","KOSPI","운수장비",12600,-50,-0.4,4.158e+11
"359","009580","무림P&P","KOSPI","종이목재",4825,105,2.22,300927163300
"360","009200","무림페이퍼","KOSPI","종이목재",2820,-10,-0.35,117338254200
"361","033920","무학","KOSPI","음식료품",7420,-150,-1.98,2.1147e+11
"362","008420","문배철강","KOSPI","철강금속",4930,265,5.68,101082279650
