"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.35"," ","2904","경기도 수원시 영통구 영통로 383 (영통동)"," ","2018","수원시자원회수시설","6849","150058","22211"," ","68198"
"measureResultList.36"," "," ","경기도 안양시 만안구 석천로 1"," ","2018","안양새물공원"," ","150761"," "," ","2531"
"measureResultList.37"," "," ","경기도 양주시 화합로1710번길 125"," ","2018","㈜대륜발전"," ","150613"," "," ","339150"
"measureResultList.38"," ","346","경기도 화성시 봉담읍 하가등안길 100"," ","2018","화성 그린환경센터","520","150315","5477"," ","6738"
"measureResultList.39"," "," ","경기도 성남시 분당구 판교로228번길 88"," ","2018","한국지역난방공사 판교지사"," ","150316"," "," ","128966"
"measureResultList.40"," "," ","경기도 남양주시 별내3로 391"," ","2018","별내에너지㈜"," ","150604"," "," ","87831"
"measureResultList.41"," ","1295","경기도 양주시 남면 현석로785번길 207","7790","2018","㈜영신물산","389","150190","17466"," ","48152"
"measureResultList.42"," "," ","경기도 광명시 자경로 17"," ","2018","㈜삼천리"," ","150311"," "," ","22374"
"measureResultList.43"," ","125","경기도 안성시 보개면 보개산로 147-163"," ","2018","안성시자원회수시설","95","150135","558"," ","6927"
"measureResultList.44"," ","1213","경기도 시흥시 서해안로 231 (정왕동)","1448","2018","아세아제지㈜시화공장","2122","150011","2949"," ","65073"
"measureResultList.45"," "," ","경기도 성남시 분당구 분당로 336 (분당동)"," ","2018","한국남동발전㈜분당발전본부"," ","150064"," "," ","1201251"
"measureResultList.46"," ","619","경기도 오산시 황새로149번길 11 (누읍동)","847","2018","한국수출포장공업㈜","2678","150115","6122"," ","72940"
"measureResultList.47"," "," ","경기도 수원시 장안구 장안로309번길 84"," ","2018","SKC㈜"," ","150202"," "," ","20453"
"measureResultList.48"," ","1204","경기도 평택시 고덕면 고덕로 144-32","793","2018","신풍제지㈜","404","150109","393"," ","76919"
"measureResultList.49"," ","8477","경기도 평택시 포승읍 남양만로 175-2","282064","2018","한국서부발전㈜평택발전본부"," ","150110"," "," ","887505"
"measureResultList.50"," ","2718","경기도 안산시 단원구 해안로 308 (원시동)","1480","2018","비노텍㈜","6680","150123","5074"," ","55591"
"measureResultList.51"," ","840","경기도 용인시 수지구 만현로 11 (풍덕천동)","35329","2018","한국지역난방공사 용인지사"," ","150127"," "," ","30065"
"measureResultList.52"," ","1355","경기도 평택시 포승읍 포승공단순환로 602","2622","2018","㈜뉴그린","1137","150136","9201"," ","33630"
"measureResultList.53"," ","1420","경기도 오산시 황새로 169 (누읍동)","478","2018","㈜대림제지","66","150143","3352"," ","26472"
"measureResultList.54"," ","991","경기도 화성시 정남면 가장로 334-10","2614","2018","신대한정유산업㈜","870","150147","18244"," ","50720"
