"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"301","014530","극동유화",5600,-280,-4.76,422,13.27,4825,1.16,160,2.86
"302","204620","글로벌텍스프리",3320,20,0.61,163,20.37,1953,1.7,0,0
"303","019660","글로본",5050,140,2.85,NA,NA,714,7.07,0,0
"304","014280","금강공업",6460,720,12.54,NA,NA,10865,0.59,80,1.24
"305","014285","금강공업우",13300,900,7.26,NA,NA,NA,NA,90,0.68
"306","053260","금강철강",9320,-60,-0.64,265,35.17,5902,1.58,100,1.07
"307","008870","금비",69800,300,0.43,8088,8.63,103528,0.67,1700,2.44
"308","001570","금양",4665,-5,-0.11,NA,NA,1535,3.04,0,0
"309","002990","금호산업",9890,250,2.59,332,29.79,10364,0.95,500,5.06
"310","002995","금호산업우",32400,400,1.25,NA,NA,NA,NA,550,1.7
"311","011780","금호석유",250000,4000,1.63,10549,23.7,78488,3.19,1500,0.6
"312","011785","금호석유우",105000,2500,2.44,NA,NA,NA,NA,1550,1.48
"313","214330","금호에이치티",2240,0,0,NA,NA,2439,0.92,0,0
"314","001210","금호전기",2615,-5,-0.19,NA,NA,3098,0.84,0,0
"315","073240","금호타이어",3760,-35,-0.92,NA,NA,4383,0.86,0,0
"316","036190","금화피에스시",30750,700,2.33,4614,6.66,39902,0.77,1300,4.23
"317","049080","기가레인",1900,-45,-2.31,NA,NA,526,3.61,0,0
"318","035460","기산텔레콤",2905,-50,-1.69,231,12.58,2198,1.32,0,0
"319","092440","기신정기",5580,-180,-3.13,298,18.72,8125,0.69,150,2.69
"320","000270","기아",87100,1800,2.11,4556,19.12,71487,1.22,1150,1.32
"321","024110","기업은행",9160,-10,-0.11,2242,4.09,33567,0.27,670,7.31
"322","013700","까뮤이앤씨",2680,-20,-0.74,305,8.79,1571,1.71,30,1.12
"323","308100","까스텔바작",14300,500,3.62,1083,13.2,11624,1.23,0,0
"324","004540","깨끗한나라",7600,-420,-5.24,NA,NA,4260,1.78,0,0
