"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"415","001360","삼성제약","KOSPI","의약품",7920,-550,-6.49,487473726960
"416","010140","삼성중공업","KOSPI","운수장비",6210,-280,-4.31,3.9123e+12
"417","010145","삼성중공우","KOSPI","운수장비",308500,-6500,-2.06,35429682500
"418","016360","삼성증권","KOSPI","증권",37750,-2000,-5.03,3.371075e+12
"419","068290","삼성출판사","KOSPI","서비스업",22600,-900,-3.83,2.26e+11
"420","029780","삼성카드","KOSPI","기타금융",29700,-1150,-3.73,3441009062700
"421","000810","삼성화재","KOSPI","보험",168000,-6500,-3.72,7958972616000
"422","000815","삼성화재우","KOSPI","보험",132500,-2000,-1.49,4.2294e+11
"423","006110","삼아알미늄","KOSPI","철강금속",11050,-800,-6.75,1.2155e+11
"424","145990","삼양사","KOSPI","음식료품",62200,-1300,-2.05,641496527800
"425","145995","삼양사우","KOSPI","음식료품",43800,-200,-0.45,16209066000
"426","003230","삼양식품","KOSPI","음식료품",91100,-4000,-4.21,686257666500
"427","002170","삼양통상","KOSPI","기타제조업",61500,-1600,-2.54,1.845e+11
"428","272550","삼양패키징","KOSPI","화학",20300,-200,-0.98,288459021200
"429","000070","삼양홀딩스","KOSPI","기타금융",87000,-6100,-6.55,745091577000
"430","000075","삼양홀딩스우","KOSPI","기타금융",56800,-4300,-7.04,17270494400
"431","002810","삼영무역","KOSPI","유통업",13600,-100,-0.73,251150492800
"432","005680","삼영전자","KOSPI","전기전자",10150,-450,-4.25,2.03e+11
"433","003720","삼영화학","KOSPI","화학",2965,-240,-7.49,1.0081e+11
"434","023000","삼원강재","KOSPI","운수장비",3335,-275,-7.62,1.334e+11
"435","004380","삼익THK","KOSPI","기계",12700,-800,-5.93,2.667e+11
"436","002450","삼익악기","KOSPI","기타제조업",1445,-20,-1.37,130817172175
"437","004440","삼일씨엔에스","KOSPI","비금속광물",12700,-800,-5.93,161695726900
"438","000520","삼일제약","KOSPI","의약품",19300,-650,-3.26,129211492800
"439","009770","삼정펄프","KOSPI","종이목재",28450,-1000,-3.4,71124174950
